key,category,mention_count,assessment,local_entry_type,local_title,local_year,local_venue,resolved_source,resolved_title,resolved_year,resolved_venue,resolved_doi,title_match_score,bibtex_source,paper_status,paper_path,notes,mention_lines,mention_snippets
kakarala2012bispectrum,theory,4,good,article,The Bispectrum as a Source of Phase-Sensitive Invariants for {F}ourier Descriptors: A Group-Theoretic Approach,2012,Journal of Mathematical Imaging and Vision,openalex,The Bispectrum as a Source of Phase-Sensitive Invariants for Fourier Descriptors: A Group-Theoretic Approach,2012,Journal of Mathematical Imaging and Vision,10.1007/s10851-012-0330-6,1.0,remote-doi,downloaded,citation_audit/papers/kakarala2012bispectrum.pdf,Open PDF downloaded.,"119,230,755,1694","guarantees~\citep{kakarala2012bispectrum}. || it separates orbits for generic signals~\citep{kakarala2012bispectrum}. However, || The bispectrum's completeness guarantee~\citep{kakarala2012bispectrum} is its || Kakarala~\citep{kakarala2012bispectrum}"
kuipers2023regular,theory,2,good,inproceedings,Regular {SE}(3) Group Convolutions for Volumetric Medical Image Analysis,2023,Medical Image Computing and Computer Assisted Intervention -- {MICCAI} 2023,openalex,Regular SE(3) Group Convolutions for Volumetric Medical Image Analysis,2023,Lecture notes in computer science,10.1007/978-3-031-43898-1_25,1.0,remote-doi,link-only,citation_audit/papers/kuipers2023regular.link.txt,Saved landing link only; no open PDF downloaded.,"591,2234",convolutions~\citep{kuipers2023regular} (69.8\%). || Regular SE(3) conv & \citet{kuipers2023regular} & 172K & 0.698 & --- \\
loshchilov2019adamw,experimental,3,good,inproceedings,Decoupled Weight Decay Regularization,2019,International Conference on Learning Representations (ICLR),manual,Decoupled Weight Decay Regularization,2019,International Conference on Learning Representations,,1.0,local-fallback,link-only,citation_audit/papers/loshchilov2019adamw.link.txt,No DOI found. | Saved landing link only; no open PDF downloaded.,"498,556,2170","AdamW~\citep{loshchilov2019adamw}. Full model descriptions are in || are trained with AdamW~\citep{loshchilov2019adamw} for 100 epochs with || training data} (26{,}214 images) with AdamW~\citep{loshchilov2019adamw}"
mallat2012scattering,related-work,1,good,article,Group Invariant Scattering,2012,Communications on Pure and Applied Mathematics,openalex,Group Invariant Scattering,2012,Communications on Pure and Applied Mathematics,10.1002/cpa.21413,1.0,remote-doi,link-only,citation_audit/papers/mallat2012scattering.link.txt,Saved landing link only; no open PDF downloaded.,750,The wavelet scattering transform~\citep{mallat2012scattering} provides
mataigne2024selective,theory,8,good,inproceedings,The Selective {G}-Bispectrum and its Inversion: Applications to {G}-Invariant Networks,2024,Advances in Neural Information Processing Systems,openalex,The Selective $G$-Bispectrum and its Inversion: Applications to $G$-Invariant Networks,2024,,10.52202/079017-3674,1.0,remote-doi,link-only,citation_audit/papers/mataigne2024selective.link.txt,Saved landing link only; no open PDF downloaded.,"126,138,233,399,1160,1702,1801,1925","$O(|G|^2)$ to $O(|G|)$~\citep{mataigne2024selective}, a user still needs a numerically stable implementation, || the bootstrap inversion failure~\citep{mataigne2024selective} for the || \emph{Selective bispectra.} \citet{mataigne2024selective} show that for || The bootstrap inversion of \citet{mataigne2024selective} recovers || \citep{mataigne2024selective} is that on~$S^2$, the scalar bispectrum || Mataigne et al.~\citep{mataigne2024selective} || All inversion algorithms in \citet{mataigne2024selective} share the || \citet{mataigne2024selective} acknowledge a related issue in the"
medmnistv2,dataset,2,good,article,{MedMNIST} v2 -- A Large-Scale Lightweight Benchmark for {2D} and {3D} Biomedical Image Classification,2023,Scientific Data,openalex,MedMNIST v2 - A large-scale lightweight benchmark for 2D and 3D biomedical image classification,2023,Scientific Data,10.1038/s41597-022-01721-8,1.0,remote-doi,downloaded,citation_audit/papers/medmnistv2.pdf,Open PDF downloaded.,"550,2343","OrganMNIST3D~\citep{medmnistv2} (1{,}742 abdominal CT volumes, $28^3$ || OrganMNIST3D~\citep{medmnistv2} contains 1{,}742 abdominal CT organ"
oreiller2022bispectral,related-work,1,good,inproceedings,Robust Multi-Organ Nucleus Segmentation Using a Locally Rotation Invariant Bispectral {U-Net},2022,Proceedings of The 5th International Conference on Medical Imaging with Deep Learning,manual,Robust Multi-Organ Nucleus Segmentation Using a Locally Rotation Invariant Bispectral U-Net,2022,Medical Imaging with Deep Learning,,1.0,local-fallback,downloaded,citation_audit/papers/oreiller2022bispectral.pdf,No DOI found. | Open PDF downloaded.,728,\citet{oreiller2022bispectral} applied bispectral CNNs to medical imaging
paszke2019pytorch,software,2,good,inproceedings,"Py{T}orch: An Imperative Style, High-Performance Deep Learning Library",2019,Advances in Neural Information Processing Systems (NeurIPS),openalex,"PyTorch: An Imperative Style, High-Performance Deep Learning Library",2019,arXiv (Cornell University),10.48550/arxiv.1912.01703,1.0,remote-doi,downloaded,citation_audit/papers/paszke2019pytorch.pdf,Open PDF downloaded.,"129,256","This paper presents \texttt{bispectrum}, a PyTorch~\citep{paszke2019pytorch} || The only dependencies are PyTorch~\citep{paszke2019pytorch},"
price2025freedom,theory,1,good,inproceedings,The Price of Freedom: Exploring Expressivity and Runtime Tradeoffs in Equivariant Tensor Products,2025,Proceedings of the 42nd International Conference on Machine Learning (ICML),openalex,The Price of Freedom: Exploring Expressivity and Runtime Tradeoffs in Equivariant Tensor Products,2025,ArXiv.org,10.48550/arxiv.2506.13523,1.0,remote-doi,downloaded,citation_audit/papers/price2025freedom.pdf,Open PDF downloaded.,742,\citet{price2025freedom} analyse the \emph{price of freedom} in tensor
sanborn2023bispectral,related-work,1,good,inproceedings,Bispectral Neural Networks,2023,International Conference on Learning Representations (ICLR),openalex,Bispectral Neural Networks,2022,arXiv (Cornell University),10.48550/arxiv.2209.03416,1.0,remote-doi,downloaded,citation_audit/papers/sanborn2023bispectral.pdf,Open PDF downloaded.,726,"\citet{sanborn2023bispectral} introduced bispectral neural networks (BNNs),"
sangalli2023movfrnet,theory,1,acceptable-but-weaker,inproceedings,Moving Frame Net: {SE}(3)-Equivariant Network for Volumes,2023,Proceedings of the 1st NeurIPS Workshop on Symmetry and Geometry in Neural Representations,openalex,Moving Frame Net: SE(3)-Equivariant Network for Volumes,2022,arXiv (Cornell University),10.48550/arxiv.2211.03420,1.0,remote-doi,downloaded,citation_audit/papers/sangalli2023movfrnet.pdf,Workshop citation rather than a main archival venue. | Open PDF downloaded.,2233,SE3MovFrNet & \citet{sangalli2023movfrnet} & --- & 0.745 & --- \\
thomas2018tensor,theory,1,acceptable-but-weaker,inproceedings,Tensor Field Networks: Rotation- and Translation-Equivariant Neural Networks for {3D} Point Clouds,2018,arXiv preprint arXiv:1802.08219,arxiv,Tensor Field Networks: Rotation- and Translation-Equivariant Neural Networks for 3D Point Clouds,2018,arXiv preprint arXiv:1802.08219,,1.0,local-fallback,downloaded,citation_audit/papers/thomas2018tensor.pdf,Preprint citation; archival version may be preferable if one exists. | No DOI found. | Open PDF downloaded.,738,Tensor field networks~\citep{thomas2018tensor} and
veeling2018rotation,dataset,5,good,inproceedings,Rotation Equivariant {CNN}s for Digital Pathology,2018,Medical Image Computing and Computer Assisted Intervention (MICCAI),openalex,Rotation Equivariant CNNs for Digital Pathology,2018,Lecture notes in computer science,10.1007/978-3-030-00934-2_24,1.0,remote-doi,unavailable,,No paper URL resolved.,"490,493,2124,2145,2334","PatchCamelyon~\citep{veeling2018rotation} (PCam), 327K histopathology || \citet{veeling2018rotation}; they differ only in the terminal invariant map: || \citet{veeling2018rotation}, trained on 100\% data.} || following the architecture of \citet{veeling2018rotation} but || PatchCamelyon~\citep{veeling2018rotation} consists of 327{,}680 RGB"
weiler2019general,theory,4,good,inproceedings,General {E}(2)-Equivariant Steerable {CNN}s,2019,Advances in Neural Information Processing Systems (NeurIPS),openalex,General $E(2)$-Equivariant Steerable CNNs,2019,arXiv (Cornell University),10.48550/arxiv.1911.08251,1.0,remote-doi,downloaded,citation_audit/papers/weiler2019general.pdf,Open PDF downloaded.,"111,116,179,210","Equivariant neural networks~\citep{cohen2016group, weiler2019general} enforce || usable~\citep{weiler2019general}, but they do not preserve all equivariant || for all $g \in G$~\citep{cohen2016group, weiler2019general}. || sacrifice exactness through aliasing~\citep{weiler2019general}. The full"
zhemchuzhnikov2024ilponet,theory,1,good,inproceedings,{ILPO-NET}: Network for the Invariant Recognition of Arbitrary Volumetric Patterns in {3D},2024,Machine Learning and Knowledge Discovery in Databases. Research Track,openalex,ILPO-NET: Network for the Invariant Recognition of Arbitrary Volumetric Patterns in 3D,2024,Lecture notes in computer science,10.1007/978-3-031-70359-1_21,1.0,remote-doi,link-only,citation_audit/papers/zhemchuzhnikov2024ilponet.link.txt,Saved landing link only; no open PDF downloaded.,2231,ILPOResNet-50 & \citet{zhemchuzhnikov2024ilponet} & 38K & 0.879 & 0.992 \\
zhemchuzhnikov2025equilopo,theory,1,good,inproceedings,On the {F}ourier Analysis in the {SO}(3) Space: the {EquiLoPO} Network,2025,International Conference on Learning Representations (ICLR),manual,On the Fourier Analysis in the SO(3) Space: the EquiLoPO Network,2025,International Conference on Learning Representations,,1.0,local-fallback,link-only,citation_audit/papers/zhemchuzhnikov2025equilopo.link.txt,No DOI found. | Saved landing link only; no open PDF downloaded.,2232,EquiLoPO (local train.) & \citet{zhemchuzhnikov2025equilopo} & 418K & 0.866 & 0.991 \\
